Gene	sgRNA	eff
Haao	Haao_3	1
Haao	Haao_2	1
Haao	Haao_5	1
Haao	Haao_1	1
Ppm1k	Ppm1k_5	1
Ppm1k	Ppm1k_2	1
Ppm1k	Ppm1k_1	1
Ppm1k	Ppm1k_4	1
Ppm1k	Ppm1k_3	1
E430025E21Rik	E430025E21Rik_3	1
E430025E21Rik	E430025E21Rik_4	1
E430025E21Rik	E430025E21Rik_5	1
E430025E21Rik	E430025E21Rik_2	1
E430025E21Rik	E430025E21Rik_1	1
Coa5	Coa5_3	1
Coa5	Coa5_4	1
Coa5	Coa5_5	1
Coa5	Coa5_2	1
Coa5	Coa5_1	1
Saal1	Saal1_3	1
Saal1	Saal1_2	1
Saal1	Saal1_5	1
Saal1	Saal1_4	1
Saal1	Saal1_1	1
Mrpl20	Mrpl20_1	1
Mrpl20	Mrpl20_5	1
Mrpl20	Mrpl20_3	1
Mrpl20	Mrpl20_4	1
Mrpl20	Mrpl20_2	1
Fabp3	Fabp3_5	1
Fabp3	Fabp3_4	1
Fabp3	Fabp3_2	1
Fabp3	Fabp3_3	1
Fabp3	Fabp3_1	1
Stom	Stom_4	1
Stom	Stom_2	1
Stom	Stom_1	1
Stom	Stom_5	1
Stom	Stom_3	1
Zfp128	Zfp128_2	1
Zfp128	Zfp128_5	1
Zfp128	Zfp128_4	1
Zfp128	Zfp128_1	1
Zfp128	Zfp128_3	1
Klhdc7a	Klhdc7a_2	1
Klhdc7a	Klhdc7a_3	1
Klhdc7a	Klhdc7a_5	1
Klhdc7a	Klhdc7a_4	1
Klhdc7a	Klhdc7a_1	1
Wbscr28	Wbscr28_3	1
Wbscr28	Wbscr28_5	1
Wbscr28	Wbscr28_4	1
Wbscr28	Wbscr28_2	1
Wbscr28	Wbscr28_1	1
2310022B05Rik	2310022B05Rik_4	1
2310022B05Rik	2310022B05Rik_3	1
2310022B05Rik	2310022B05Rik_2	1
2310022B05Rik	2310022B05Rik_5	1
2310022B05Rik	2310022B05Rik_1	1
Cyp2c66	Cyp2c66_4	1
Cyp2c66	Cyp2c66_2	1
Cyp2c66	Cyp2c66_1	1
Cyp2c66	Cyp2c66_3	1
Ptbp1	Ptbp1_3	1
Ptbp1	Ptbp1_4	1
Ptbp1	Ptbp1_2	1
Ptbp1	Ptbp1_1	1
Ptbp1	Ptbp1_5	1
Mpdz	Mpdz_3	1
Mpdz	Mpdz_5	1
Mpdz	Mpdz_2	1
Mpdz	Mpdz_1	1
Mpdz	Mpdz_4	1
Lpcat1	Lpcat1_1	1
