sgRNA	Gene	T0	T12_DMSO_rep1	T12_DMSO_rep2	T12_MYCi_rep1	T12_MYCi_rep2
Dgkh_3	Dgkh	1536.5	1230	1074	1353	942
Slc25a2_3	Slc25a2	1702.5	1428	2448	1578	2082
Polr1c_4	Polr1c	2640	151	38	205	48
Slc6a1_5	Slc6a1	940.5	730	791	724	744
4930578I06Rik_2	4930578I06Rik	1841	1757	1539	1787	1307
Lyrm9_5	Lyrm9	1265	696	522	572	523
Txndc11_2	Txndc11	625	395	340	534	401
Afm_1	Afm	1174	931	853	1103	1074
Ggn_2	Ggn	1163.5	992	1121	881	891
Tcaim_4	Tcaim	1001	1191	642	1481	906
Elmo3_3	Elmo3	2434.5	2017	1365	1924	1214
Prorsd1_3	Prorsd1	638.5	462	569	418	458
Olfr620_4	Olfr620	1616	1116	1477	1127	1345
Akt2_3	Akt2	553.5	353	410	242	437
Scarf2_3	Scarf2	1378.5	772	1025	998	813
Olfr598_2	Olfr598	988.5	922	509	694	547
Nfya_2	Nfya	540	502	596	457	688
Lrrc23_5	Lrrc23	528	351	235	458	420
Senp1_5	Senp1	941	988	607	993	582
Fam198a_2	Fam198a	673.5	720	561	705	243
Gm973_4	Gm973	1517	1541	1288	1555	1262
Clstn3_1	Clstn3	678.5	542	405	519	427
Lysmd3_2	Lysmd3	750.5	695	433	617	374
Dzip1l_2	Dzip1l	1000.5	898	958	786	745
Osr1_1	Osr1	920.5	714	1302	1073	1453
Mgat3_4	Mgat3	233	99	264	216	236
Lrrc8e_2	Lrrc8e	2738	2170	1905	2279	2228
Ccdc177_2	Ccdc177	405	212	376	384	423
Reep4_1	Reep4	1770.5	1196	1100	1155	1336
Ppil4_3	Ppil4	688	98	10	117	5
Ankrd34c_1	Ankrd34c	1039	701	1004	870	800
Pskh1_2	Pskh1	1025	1048	1742	1010	1270
Hemgn_5	Hemgn	944.5	862	737	1030	865
Snap29_5	Snap29	1749.5	1847	2694	1896	2591
Crybb2_1	Crybb2	913	582	720	697	692
Plcl2_2	Plcl2	722	618	590	758	821
Nbn_3	Nbn	621	237	142	246	235
Calr_5	Calr	495	237	1133	395	1149
Sarm1_1	Sarm1	582.5	421	280	482	252
Lep_3	Lep	793.5	554	380	542	464
Haao_4	Haao	811	389	335	537	560
Ppm1k_5	Ppm1k	894	871	358	866	315
E430025E21Rik_3	E430025E21Rik	1743.5	996	1168	888	1051
Coa5_3	Coa5	2383.5	980	745	823	561
Saal1_3	Saal1	1680.5	1931	3263	1737	3862
Mrpl20_1	Mrpl20	1178.5	149	116	141	26
Fabp3_5	Fabp3	1215	720	772	729	742
Stom_4	Stom	1156.5	1077	1044	1310	897
Zfp128_2	Zfp128	327	246	472	316	517
Klhdc7a_2	Klhdc7a	1325.5	854	1334	998	1307
Wbscr28_3	Wbscr28	916.5	889	719	935	906
2310022B05Rik_4	2310022B05Rik	1339.5	890	1220	912	1039
Cyp2c66_4	Cyp2c66	740	696	489	615	430
Ptbp1_3	Ptbp1	313	165	141	257	180
Mpdz_3	Mpdz	897	594	505	625	530
Lpcat1_1	Lpcat1	1002	825	563	800	414
Supt20_1	Supt20	678.5	673	1036	634	1036
Stil_2	Stil	1983.5	948	849	658	960
Cdc42ep1_3	Cdc42ep1	1214	862	453	950	510
Crybb3_1	Crybb3	485	409	164	363	396
Gstm7_1	Gstm7	542.5	519	389	546	277
Olfr883_3	Olfr883	940.5	619	1039	631	1075
Rtn3_2	Rtn3	767	769	555	817	845
Slc22a17_1	Slc22a17	2224.5	1893	1778	1802	2011
Scarb1_1	Scarb1	600.5	355	569	326	484
Kifc1_1	Kifc1	1487.5	1360	758	1393	842
Rasal3_4	Rasal3	1981	1664	1041	2222	1554
Slc25a12_2	Slc25a12	531.5	326	134	541	144
Itga11_3	Itga11	1882.5	1337	1875	1318	2102
Ovgp1_2	Ovgp1	752	388	307	446	453
Nbas_3	Nbas	877.5	369	192	346	247
Fam133b_3	Fam133b	438.5	239	286	229	397
Prss28_4	Prss28	1125.5	813	368	871	446
Bcl2l14_3	Bcl2l14	1758.5	1361	737	1358	1055
Ranbp2_2	Ranbp2	890.5	637	383	722	232
Tmem177_1	Tmem177	718	459	634	607	746
Il9_5	Il9	1483	1252	603	1221	737
Snx7_3	Snx7	622	503	205	684	279
Mfsd6_1	Mfsd6	699	396	508	331	390
Acpp_5	Acpp	800	715	1469	691	1280
Spaca3_2	Spaca3	1035	732	449	591	408
Ddo_1	Ddo	274	251	105	272	95
Gimap1_1	Gimap1	1258	909	1214	908	1160
Ttc9_1	Ttc9	829	833	753	841	1013
Dnah7a_4	Dnah7a	537.5	517	647	448	771
Pofut1_3	Pofut1	837.5	610	623	653	577
Gpr179_3	Gpr179	1014.5	601	749	673	610
Rnpepl1_3	Rnpepl1	2072	1523	1328	1409	1228
Lrtm2_3	Lrtm2	551.5	466	247	368	305
Olfr1195_2	Olfr1195	1143.5	995	746	892	542
Mroh5_2	Mroh5	436.5	187	533	139	427
Vcl_3	Vcl	1926	1371	1239	1664	1082
Gnat2_5	Gnat2	343	287	204	253	228
Magi3_3	Magi3	785.5	556	559	707	524
Rab3c_4	Rab3c	852.5	716	989	734	856
Sult4a1_1	Sult4a1	1264	921	1074	889	1064
Ppp1r3f_3	Ppp1r3f	729	566	314	656	459
Tmem194_4	Tmem194	1509.5	986	813	1069	670
Iars_1	Iars	700	94	23	101	25
Lyst_4	Lyst	715	621	1235	587	1174
Cyp26c1_3	Cyp26c1	463	352	343	390	391
Pygo2_2	Pygo2	2435	1862	2058	2048	1674
Gstm6_2	Gstm6	1040	1130	587	1193	682
Mdc1_3	Mdc1	2043	1357	1274	1699	1325
Efcab9_3	Efcab9	670	572	495	661	658
Fadd_2	Fadd	350	289	160	473	144
Cbr2_4	Cbr2	682	583	885	580	916
Prodh2_2	Prodh2	501	244	82	409	146
Hnrnpul2_2	Hnrnpul2	472.5	287	139	344	282
Ap2a2_5	Ap2a2	1834	1397	1615	1602	1583
Asic3_3	Asic3	1726	1606	1756	1296	2070
Gm9869_2	Gm9869	817.5	691	459	582	779
Zfp866_5	Zfp866	847	662	856	641	716
Zfp91_5	Zfp91	2150	1740	2396	1774	2495
Cer1_4	Cer1	2929	1935	2521	2413	2769
Il20ra_1	Il20ra	471	477	215	468	318
Fanci_4	Fanci	633	515	471	576	451
Tbc1d9_5	Tbc1d9	1307	1170	1004	1102	1094
Cnbd2_5	Cnbd2	268.5	257	187	239	303
Sprr1b_4	Sprr1b	398.5	275	197	311	378
Ropn1l_1	Ropn1l	2551.5	2245	1997	2277	2242
Lgmn_2	Lgmn	1748.5	1882	1688	1868	1887
1700017N19Rik_4	1700017N19Rik	1655	1225	1020	1241	817
Tspan9_1	Tspan9	947.5	570	573	500	471
Atp6v1d_2	Atp6v1d	1087	762	455	853	463
Tagln_3	Tagln	523	353	246	460	436
Tmem19_3	Tmem19	413.5	257	484	367	663
Calr_1	Calr	886.5	731	987	703	1043
Mrgprx2_3	Mrgprx2	279	294	415	248	334
Kif5a_5	Kif5a	2296	2041	2619	2558	2492
Lrrc28_4	Lrrc28	786	563	206	622	314
Tspyl3_1	Tspyl3	372.5	256	128	490	206
Hmox1_1	Hmox1	1073	771	1563	861	1533
Zfp317_4	Zfp317	565	338	259	390	231
Jup_1	Jup	549.5	474	925	445	839
Rgs11_5	Rgs11	1192.5	1023	1577	1307	1879
Pkd2_5	Pkd2	731	739	684	577	600
Cyb5b_4	Cyb5b	1683	1852	1724	1805	1967
Ralgapa1_4	Ralgapa1	679.5	867	446	712	356
Vmn2r105_4	Vmn2r105	1188.5	1115	2338	1304	2272
Zfp648_3	Zfp648	1929.5	1658	1953	1884	2077
Prr13_5	Prr13	1078	924	567	881	721
Anxa4_2	Anxa4	810	521	613	436	490
LacZ_178	LacZ	786.5	1109	1112	1072	812
Rnmt_4	Rnmt	1056.5	132	103	104	85
Mlst8_4	Mlst8	258.5	16	34	22	34
Pds5b_2	Pds5b	757.5	475	655	450	544
Prl7c1_3	Prl7c1	1078.5	601	757	789	659
Utp23_4	Utp23	1551.5	327	31	290	72
Vhl_1	Vhl	1001.5	804	262	805	345
Bphl_2	Bphl	958	656	1263	1018	1036
Exog_1	Exog	1267	924	1263	822	943
Ktn1_3	Ktn1	801.5	520	661	548	827
Dennd6a_4	Dennd6a	1416.5	1560	1317	1361	1089
Zfp346_5	Zfp346	1610.5	1253	795	1219	797
Rel_1	Rel	947	706	1351	721	1353
Tox_5	Tox	1263	970	861	776	846
Pax9_3	Pax9	2279	1617	1282	1998	1896
Zdhhc1_2	Zdhhc1	553.5	321	158	353	284
Ptk2_3	Ptk2	872	539	411	608	350
AY358078_1	AY358078	1526.5	1119	1450	1021	1634
Gm4969_4	Gm4969	417	260	258	472	300
Lrrc41_3	Lrrc41	856	556	323	756	357
Usp42_1	Usp42	1154.5	731	335	685	402
Smpd1_5	Smpd1	1873.5	1463	1798	1105	2307
Cdk17_4	Cdk17	545	323	149	407	234
Il10_5	Il10	1868	1295	1913	1443	1559
Rhcg_1	Rhcg	1364	1003	1384	1175	1618
Nrep_5	Nrep	726.5	532	483	453	452
Atf4_2	Atf4	693	280	657	422	680
Birc7_4	Birc7	1391	1250	1004	1236	1071
1700008P02Rik_5	1700008P02Rik	743	467	404	689	303
Slc43a2_5	Slc43a2	1590	1399	1179	1687	1020
Ifnl2_3	Ifnl2	1884.5	1431	1258	1715	1523
Gm5724_1	Gm5724	491	291	405	320	549
Upf1_1	Upf1	1059	651	635	575	614
2310079G19Rik_4	2310079G19Rik	485	360	180	465	327
Thoc6_2	Thoc6	1690	1276	903	1288	793
Tmem120a_5	Tmem120a	970	610	588	749	528
Skint3_1	Skint3	668.5	644	608	584	694
Prr5_4	Prr5	1503	1085	2272	1114	1940
Asmt_4	Asmt	644.5	547	437	742	511
Olfr553_4	Olfr553	1497.5	1283	885	1281	797
Atxn7l3b_5	Atxn7l3b	907.5	783	600	900	843
Akap4_5	Akap4	667	566	582	572	691
Fbln2_1	Fbln2	596	491	635	478	809
Sult2a6_2	Sult2a6	733.5	653	442	721	537
Txndc17_4	Txndc17	627	252	370	552	826
Cdc42se1_1	Cdc42se1	910.5	678	789	689	1032
Vps51_3	Vps51	2668	1957	1507	1732	1273
Rbm20_4	Rbm20	2047.5	1965	3524	2013	4196
Sdhaf4_3	Sdhaf4	784.5	607	504	782	503
Lama1_1	Lama1	597	355	529	299	710
Ap2s1_2	Ap2s1	1470.5	411	372	543	521
Eif5a2_5	Eif5a2	709.5	558	360	683	350
Qars_3	Qars	898.5	105	22	67	63
Lsm2_1	Lsm2	693	51	14	75	11
Triml1_3	Triml1	1280.5	1170	613	1268	784
Tmem131_2	Tmem131	1002	695	1186	901	1417
Csrp3_1	Csrp3	891	879	678	915	837
Pank4_2	Pank4	1623.5	1531	939	1326	911
Pou4f3_5	Pou4f3	1453	1393	1697	1295	1815
Edc4_3	Edc4	338.5	159	252	92	138
Pms2_4	Pms2	868.5	653	437	658	334
Slc14a2_3	Slc14a2	1752.5	1018	835	1224	1185
Hes3_5	Hes3	580	270	457	270	238
Myo1g_2	Myo1g	461	261	319	416	458
Nol11_1	Nol11	706.5	384	287	516	359
Dnajb4_1	Dnajb4	1161.5	1339	951	1250	947
Gp2_1	Gp2	1208.5	1414	1085	1205	1001
Mkrn2os_4	Mkrn2os	685.5	423	325	365	274
Bcl2l11_4	Bcl2l11	819.5	877	1463	798	1203
Hip1_5	Hip1	555	524	389	476	294
Tas2r130_3	Tas2r130	2784.5	2208	1826	2198	1812
Fbxo5_2	Fbxo5	836	306	95	326	73
4930480E11Rik_2	4930480E11Rik	587	522	680	369	518
Phf20l1_3	Phf20l1	1107	971	2272	948	2282
Gm5878_2	Gm5878	1006.5	794	649	747	664
Cst3_1	Cst3	456.5	309	236	418	301
Gm9376_1	Gm9376	105	199	68	126	61
Atp2b1_3	Atp2b1	1566.5	855	1557	1007	2068
Ndufb9_5	Ndufb9	730.5	154	159	115	102
Tmem261_2	Tmem261	1024.5	298	419	336	432
Gm17727_1	Gm17727	3106.5	2419	1364	2469	2083
Ndrg3_5	Ndrg3	938	73	1	170	16
Adam15_2	Adam15	653.5	400	183	431	220
Aard_5	Aard	549.5	400	727	281	791
Larp7_3	Larp7	2827.5	1454	1639	1452	1701
Kdm5b_2	Kdm5b	1055.5	991	1563	1061	1779
Efhc2_3	Efhc2	960.5	1119	1015	1219	1233
Ddhd2_3	Ddhd2	1436	1325	1189	1337	1644
Pzp_1	Pzp	606	439	409	457	409
Limch1_3	Limch1	1377.5	1464	669	1415	841
Otp_4	Otp	567	493	587	617	499
Dpagt1_2	Dpagt1	716.5	18	0	48	0
Taf15_2	Taf15	671.5	426	231	393	278
Timd2_1	Timd2	1181	961	1361	991	2402
Mzt1_1	Mzt1	483.5	145	290	189	244
Rpl7l1_4	Rpl7l1	1038.5	115	75	141	99
Cyp2j5_3	Cyp2j5	1063	928	1234	837	1274
F8_1	F8	1298	1130	1547	768	1352
Ccm2l_5	Ccm2l	525	421	199	373	157
Cd209e_1	Cd209e	1680	1287	1043	1465	965
Sim2_3	Sim2	1522	1378	1270	1496	1069
Ceacam2_2	Ceacam2	1115.5	1015	1036	1098	1115
Sprtn_3	Sprtn	685	153	90	121	110
Uros_4	Uros	906.5	553	680	777	811
Olfr974_1	Olfr974	863	717	388	658	434
Hrasls_4	Hrasls	1441	1126	846	1183	926
3110043O21Rik_2	3110043O21Rik	1568.5	1367	1134	1465	1260
Tonsl_5	Tonsl	350	81	205	80	136
Myh4_2	Myh4	832	748	1551	790	1164
Fxyd4_3	Fxyd4	747.5	475	490	634	374
Atf7ip_4	Atf7ip	457.5	392	533	301	637
Phlda1_5	Phlda1	1199.5	884	1194	973	632
Ccdc116_5	Ccdc116	810.5	480	415	538	488
Cenpp_3	Cenpp	738.5	255	220	300	138
Dram2_1	Dram2	822	766	616	906	360
Pabpn1l_3	Pabpn1l	1310.5	1211	667	1138	730
Fbxo10_4	Fbxo10	478	388	406	525	278
Abca9_1	Abca9	645	414	553	352	512
Ipmk_2	Ipmk	1527	1101	936	1241	751
Gpsm2_5	Gpsm2	816.5	525	241	723	528
Zfp330_5	Zfp330	634	429	422	417	449
Tlr3_3	Tlr3	483.5	328	147	262	221
Zscan29_4	Zscan29	1204	997	611	846	806
Kcnj3_1	Kcnj3	626	292	614	403	750
Iigp1_3	Iigp1	527	316	543	331	662
Olfr688_3	Olfr688	1724.5	1330	1134	1233	1235
A1bg_2	A1bg	1140.5	732	794	870	1219
Olfr591_2	Olfr591	577.5	471	497	566	368
Cenpv_5	Cenpv	1104	926	588	845	695
Abi3_5	Abi3	841	685	958	836	1040
Enam_4	Enam	452	547	260	495	249
Krt19_2	Krt19	1304.5	955	1124	1036	1362
Tsga10ip_1	Tsga10ip	609.5	417	405	635	489
Tnks_2	Tnks	1842	1780	2556	1634	3109
Fam134b_3	Fam134b	1497	1342	1519	1322	1702
Slc2a12_2	Slc2a12	1646.5	1430	1512	1563	1493
Dcn_5	Dcn	693	596	541	573	605
Dock4_2	Dock4	841	672	364	685	485
Krt12_2	Krt12	719.5	813	652	530	666
Cntln_2	Cntln	445	328	200	355	289
Nmrk2_1	Nmrk2	469.5	378	227	461	356
Stat3_3	Stat3	1848.5	1252	1228	1345	1359
Mex3b_4	Mex3b	790	775	766	583	714
Aff2_3	Aff2	803.5	737	716	942	720
Sod1_1	Sod1	804	98	447	87	302
Rfx6_5	Rfx6	592.5	553	557	666	566
Alg10b_2	Alg10b	300	174	26	144	73
BC030336_4	BC030336	2322.5	1849	2062	1598	2053
Pbp2_5	Pbp2	1505.5	1280	1240	1607	1557
Atg4d_5	Atg4d	1463	967	1506	1126	1487
Kti12_4	Kti12	709	380	926	472	1135
Anapc2_5	Anapc2	856.5	275	268	341	214
Rpl38_1	Rpl38	2998	2309	2854	2260	3233
Phf7_3	Phf7	1549.5	1473	1548	1507	1449
Olfr430_4	Olfr430	444	534	328	514	460
S100a16_4	S100a16	953.5	726	914	965	866
Bmp1_5	Bmp1	1173.5	913	1526	969	1976
Als2cl_5	Als2cl	867	618	572	495	471
Cadps_2	Cadps	1151.5	810	1311	816	1018
Il17c_1	Il17c	1882	1829	1181	1929	1217
B3galnt2_4	B3galnt2	542	279	241	365	251
Sh3gl2_5	Sh3gl2	1471.5	1479	997	1342	1120
Npr2_5	Npr2	404.5	418	490	363	606
Sik1_1	Sik1	1859	1580	842	1928	877
Cutc_3	Cutc	507	390	327	539	319
Tsga10_3	Tsga10	938	683	580	534	592
Themis_3	Themis	462.5	338	416	382	387
AF067063_1	AF067063	1338	1007	937	988	1300
Zfp26_4	Zfp26	807	479	1189	482	931
Slc10a6_1	Slc10a6	383	399	214	359	277
Aknad1_4	Aknad1	671.5	426	591	485	942
Sema3d_5	Sema3d	326.5	398	293	396	419
Sephs1_5	Sephs1	455	117	204	96	324
Mpeg1_1	Mpeg1	598	422	374	553	415
Aacs_2	Aacs	1146	972	438	871	603
Tmem100_4	Tmem100	762	729	796	885	823
Mrpl23_1	Mrpl23	3361.5	281	130	186	58
Stpg1_3	Stpg1	827.5	534	684	540	473
Olfr1413_5	Olfr1413	3538.5	2789	3352	3140	2981
Rabggta_2	Rabggta	625	84	12	51	23
Zfp54_2	Zfp54	1205.5	1069	1182	1321	1280
Mageb16_2	Mageb16	2733.5	1240	696	1047	1030
4931428F04Rik_4	4931428F04Rik	1846.5	1188	1653	1179	2979
Csrnp2_3	Csrnp2	799	869	668	777	801
Meiob_5	Meiob	1859.5	1251	921	1397	1205
Mettl6_2	Mettl6	1856	1812	1252	1660	1717
Olfr557_3	Olfr557	457	341	719	310	928
Erbb4_3	Erbb4	640	444	452	520	395
9130213A22Rik_2	9130213A22Rik	308.5	303	244	199	282
Tecpr2_2	Tecpr2	658	512	518	607	516
Prr5_5	Prr5	1346	842	420	1060	507
Rab5c_1	Rab5c	1124	1120	1432	1122	1681
Mfap2_4	Mfap2	1269.5	1295	905	1036	886
Col25a1_5	Col25a1	296.5	183	259	355	284
Bhlha15_3	Bhlha15	411	194	409	263	507
Elovl1_3	Elovl1	284	166	176	282	194
Cttnbp2nl_3	Cttnbp2nl	731	449	455	637	559
Slitrk1_5	Slitrk1	1820	2143	1515	1992	1872
Cald1_3	Cald1	487.5	336	64	215	18
Sh3rf2_5	Sh3rf2	807.5	382	696	548	722
Tbx1_4	Tbx1	1025.5	856	906	686	634
2310030G06Rik_4	2310030G06Rik	890	622	448	629	458
N4bp3_1	N4bp3	595	526	571	552	663
Laptm4a_3	Laptm4a	527.5	352	650	345	670
Keg1_2	Keg1	1360.5	1353	1698	1376	1329
Rsph10b_5	Rsph10b	742	327	356	436	498
C030039L03Rik_1	C030039L03Rik	1395.5	1235	1760	1284	1620
Calhm3_5	Calhm3	1749	1332	926	1475	1353
Bub1_5	Bub1	323	77	28	63	74
Exoc5_4	Exoc5	980	596	458	645	381
Vmn1r1_3	Vmn1r1	763	715	620	809	454
Mroh7_4	Mroh7	374	489	263	370	251
Wdr55_4	Wdr55	1244	391	162	426	322
Serpina5_5	Serpina5	769	331	428	581	890
Rabl2_4	Rabl2	618	408	321	646	676
4921507P07Rik_2	4921507P07Rik	1210.5	710	660	852	705
Phka1_5	Phka1	1132	918	738	839	764
Avp_4	Avp	248	209	153	181	164
Acadm_1	Acadm	945	536	1337	552	1285
Gck_5	Gck	696.5	506	487	652	490
Cenpp_5	Cenpp	1874.5	650	302	748	522
Olfr132_5	Olfr132	1818	1269	1169	1479	1438
Sh3tc1_3	Sh3tc1	825	722	1482	747	1302
Rimbp3_2	Rimbp3	1297.5	910	671	815	666
4933402J07Rik_3	4933402J07Rik	372	288	499	381	600
Grm8_1	Grm8	691.5	390	242	367	299
Has3_3	Has3	1043	1221	555	1063	528
Grpel2_4	Grpel2	1832	1137	1376	924	1287
Txn1_5	Txn1	1261.5	253	120	227	149
Nup155_1	Nup155	1585	726	802	637	1152
Cyp2j6_1	Cyp2j6	1138	1054	256	1051	419
Donson_4	Donson	185	9	3	11	2
Pigs_2	Pigs	696.5	329	714	359	669
4933414I15Rik_2	4933414I15Rik	1207.5	829	562	1036	647
Fabp1_1	Fabp1	759	470	567	855	906
Kdm4a_3	Kdm4a	1484.5	1140	953	1011	1020
5530400C23Rik_5	5530400C23Rik	2259	1328	1418	1396	1321
Bcar3_3	Bcar3	1269	1036	817	1222	921
Rtca_3	Rtca	1461.5	1587	1280	1495	1200
Spink1_2	Spink1	3474	2625	2466	2864	2786
Calm2_5	Calm2	1044.5	685	667	591	858
Fem1a_2	Fem1a	1039.5	895	1410	924	1160
Rhbdl3_2	Rhbdl3	327.5	191	249	328	316
Pnpla5_1	Pnpla5	371	271	219	241	119
Spata9_2	Spata9	1891	1170	1481	1052	1216
4932438H23Rik_4	4932438H23Rik	1660	1192	1371	1403	1212
Ndufa6_3	Ndufa6	729.5	302	365	180	286
Ankrd65_3	Ankrd65	1443	1315	1157	1192	1241
Tspan2_4	Tspan2	1194	1055	1719	1291	1333
Synm_1	Synm	265.5	275	86	257	49
Atl3_5	Atl3	1313	1108	1456	1147	1328
Defb30_1	Defb30	2109.5	1835	2040	2027	2098
Vmn1r202_1	Vmn1r202	952	679	483	784	589
Fgl1_4	Fgl1	466.5	565	399	594	410
Anapc15-ps_1	Anapc15-ps	680	696	1386	562	1262
Krtap6-3_3	Krtap6-3	1049.5	936	923	772	668
Adrbk2_3	Adrbk2	581.5	442	404	378	621
Anks4b_4	Anks4b	934	602	556	981	480
Acaca_3	Acaca	2160	275	538	232	288
1700037H04Rik_2	1700037H04Rik	1941	1618	3222	1758	3137
Lamb2_4	Lamb2	1055.5	762	656	777	749
Shmt2_4	Shmt2	1039.5	532	785	391	506
Hmgn2_3	Hmgn2	1507.5	973	1676	999	1226
Usp31_2	Usp31	1464	891	1559	1059	2224
Gm12166_4	Gm12166	1602	940	945	1209	998
A930009A15Rik_3	A930009A15Rik	2144.5	1856	1651	1997	1980
Otof_1	Otof	1822.5	1693	2192	1629	2464
2310033P09Rik_3	2310033P09Rik	566	249	389	331	777
Anxa1_5	Anxa1	1477	1150	1721	1030	1699
St8sia5_3	St8sia5	741.5	750	1457	808	1413
Pdzrn4_5	Pdzrn4	285.5	233	88	218	140
Helz2_4	Helz2	808	696	951	765	862
Epc1_2	Epc1	1156.5	696	827	765	672
Prss52_4	Prss52	917	603	462	862	411
Endou_4	Endou	941.5	509	827	739	554
Vmn2r-ps130_1	Vmn2r-ps130	612.5	403	594	412	566
Rhag_3	Rhag	1628.5	1620	2600	1705	2497
Gm6760_1	Gm6760	363	188	156	266	219
1700093K21Rik_5	1700093K21Rik	524	478	462	400	575
Itpa_3	Itpa	1278.5	519	699	658	661
Ndufb9_2	Ndufb9	481.5	176	61	78	31
Glul_5	Glul	1315	1151	1782	1181	1925
Rffl_2	Rffl	976	750	1272	820	992
Cecr2_5	Cecr2	1156.5	996	690	1078	889
Golgb1_3	Golgb1	1020	636	520	753	502
H2-T3_2	H2-T3	1186.5	1187	1205	1140	1030
Slc22a2_3	Slc22a2	1678.5	1767	1412	1685	1581
Swi5_2	Swi5	622.5	385	363	454	393
1700042G07Rik_5	1700042G07Rik	1869.5	1748	882	1829	943
Pcnxl2_2	Pcnxl2	791	578	331	385	340
Tas2r126_4	Tas2r126	712	524	632	594	667
Chdh_2	Chdh	332.5	175	174	308	241
Gatc_2	Gatc	294.5	171	65	242	40
Grb14_5	Grb14	1513	1250	1068	1334	1287
Tbx15_5	Tbx15	665.5	558	386	589	513
Acnat2_3	Acnat2	677.5	571	336	442	426
Olfr1388_4	Olfr1388	1246.5	1172	738	906	709
Tmem38a_4	Tmem38a	1395	927	921	811	701
Rcan2_2	Rcan2	349.5	324	236	381	273
Capzb_1	Capzb	1140	1161	1772	1147	1648
Wfdc10_4	Wfdc10	984.5	895	1657	807	1664
March6_2	6-Mar	1218.5	625	665	698	1189
Hdac10_1	Hdac10	745	564	706	561	701
Lin28a_5	Lin28a	1366	966	1297	999	1488
Myo5b_5	Myo5b	675	609	496	631	429
Gtf2ird2_2	Gtf2ird2	1211.5	1038	1036	1004	1578
Cux2_4	Cux2	2824	2560	1176	2512	1254
Spcs3_1	Spcs3	1276.5	125	1	113	35
Fbxw26_1	Fbxw26	253.5	267	366	305	353
Sytl3_1	Sytl3	543.5	282	710	441	1025
Ak6_5	Ak6	899.5	323	311	312	322
Duoxa2_1	Duoxa2	718.5	521	272	464	317
Cog7_2	Cog7	1106	980	765	941	799
Rbm12_2	Rbm12	1040.5	1059	660	962	532
Gabrb1_1	Gabrb1	2097	2191	2240	1779	2171
Vmn2r83_3	Vmn2r83	1122	722	523	912	598
Rnf135_4	Rnf135	943	602	885	623	748
Tnnt3_1	Tnnt3	383.5	410	412	324	408
Carhsp1_2	Carhsp1	2073.5	1255	786	1290	920
Laptm4a_2	Laptm4a	964.5	933	722	991	846
Tiam2_3	Tiam2	450.5	390	454	460	359
Smtn_1	Smtn	1015.5	727	768	697	670
Hook3_3	Hook3	376.5	169	255	235	141
Pglyrp4_2	Pglyrp4	1957	1480	831	1803	1076
Trmt112_2	Trmt112	2039	127	20	129	28
Chp1_3	Chp1	431	87	157	124	68
Mamld1_5	Mamld1	476.5	307	202	443	302
Rsf1_3	Rsf1	977	655	570	515	702
Cd274_4	Cd274	523	343	240	349	353
Olfr960_3	Olfr960	993.5	954	632	914	724
Glrx_1	Glrx	1159	798	569	953	640
Sgsm2_5	Sgsm2	1116.5	722	1242	528	889
Tceal8_2	Tceal8	912.5	763	937	586	853
Sstr2_3	Sstr2	776	504	477	565	480
Traf3ip1_1	Traf3ip1	2546	2735	2284	3071	2544
Olfr975_4	Olfr975	2342.5	1805	1254	1931	1033
Gm3646_3	Gm3646	1131	975	808	780	873
Fbxo36_2	Fbxo36	1960.5	1832	2947	1788	2620
Decr1_4	Decr1	277	186	140	142	188
Hmha1_4	Hmha1	41.5	13	0	18	16
Ndufb8_5	Ndufb8	1195	496	778	325	462
Igtp_1	Igtp	1751.5	1361	1648	1500	1319
Acot9_3	Acot9	1106	870	408	1097	444
Pgrmc1_5	Pgrmc1	2191	2006	1770	1734	1831
Cnot7_5	Cnot7	1173	778	872	924	681
Uap1l1_4	Uap1l1	410	309	374	365	317
Olfr65_3	Olfr65	1549.5	1439	1355	1266	1355
Hibch_5	Hibch	914.5	322	535	301	558
Wnt2_5	Wnt2	584.5	300	245	359	250
Rnf181_2	Rnf181	1259	1098	1267	1153	1432
Btg1_5	Btg1	1073.5	785	505	826	688
Fhl4_3	Fhl4	1302.5	1169	704	1101	781
Fate1_5	Fate1	1261	1264	1611	1107	1845
Syf2_4	Syf2	709	230	391	165	316
Dkk1_1	Dkk1	490.5	378	282	405	270
Olfr149_3	Olfr149	383	168	405	240	624
Necab3_1	Necab3	716	495	703	469	817
Tchh_5	Tchh	873	720	1452	968	1260
Vmn2r54_3	Vmn2r54	1517.5	1373	1195	1359	1401
Syncrip_5	Syncrip	1282.5	484	271	501	282
Maff_1	Maff	1169	896	1264	948	1575
Hoxa2_4	Hoxa2	1501.5	1214	1074	1105	1099
Fpgs_2	Fpgs	1470.5	613	1149	723	1430
Rhox13_5	Rhox13	815	880	1467	702	795
Ccnl2_3	Ccnl2	718.5	496	480	395	638
Snrpc_5	Snrpc	1737	1214	834	1215	737
Tagln_4	Tagln	1791	1482	1890	1434	1859
St3gal1_2	St3gal1	690	640	368	627	443
Mgst2_4	Mgst2	1202	962	999	962	833
Alkbh8_2	Alkbh8	956.5	640	1567	649	1857
Olfr1037_3	Olfr1037	522	568	502	670	816
Lhx6_2	Lhx6	814	771	1084	652	971
Lamb3_2	Lamb3	1641	1478	1466	1837	1684
Rpl37_2	Rpl37	609	43	40	107	77
Grina_2	Grina	994	645	732	696	853
