sgRNA	Gene	T0	T12_DMSO_rep1	T12_DMSO_rep2	T12_MYCi_rep1	T12_MYCi_rep2
Kncn_5	Kncn	1092.5	800	1250	760	1259
Znrd1_4	Znrd1	425.5	214	88	156	87
Nox1_3	Nox1	817	808	875	665	947
Pef1_5	Pef1	339.5	260	57	366	136
Pdlim3_4	Pdlim3	1238.5	869	567	1158	634
Csmd1_4	Csmd1	678	713	927	673	1024
Cd8a_1	Cd8a	215	268	319	329	152
Pvrl2_1	Pvrl2	611.5	408	180	500	187
2410004B18Rik_2	2410004B18Rik	456	517	411	506	426
Myb_5	Myb	747	384	794	343	705
Wdr18_2	Wdr18	1352.5	100	28	180	81
Strbp_5	Strbp	446.5	358	276	370	335
Capn13_4	Capn13	397	368	148	461	155
Tmem65_5	Tmem65	500.5	357	134	461	290
Cdc42_2	Cdc42	684.5	197	144	147	106
Nlrp3_4	Nlrp3	1796.5	1545	1984	1240	2037
Actr2_1	Actr2	261	9	29	17	9
Aurkc_2	Aurkc	785	500	881	572	1073
Zzz3_5	Zzz3	425	34	43	66	39
Agbl2_2	Agbl2	612	276	387	296	574
Lypd3_5	Lypd3	614.5	507	378	481	289
Ccer1_5	Ccer1	488	267	261	526	365
Zbtb16_5	Zbtb16	1188.5	909	952	691	645
Lcp1_5	Lcp1	926.5	856	559	806	622
0610010F05Rik_2	0610010F05Rik	820	665	971	759	796
Trp53i11_3	Trp53i11	1039	934	606	800	409
Arrdc4_3	Arrdc4	672.5	505	537	499	1059
Tomm40_3	Tomm40	868.5	100	4	77	7
Mstn_2	Mstn	1201.5	1199	841	1138	917
Arfgap2_5	Arfgap2	639.5	557	1212	741	1126
Prps1_2	Prps1	1120	1144	1942	1096	1757
Pnma2_4	Pnma2	393	339	342	367	335
Myl12b_3	Myl12b	722	489	783	625	794
Slc33a1_1	Slc33a1	440	274	266	237	422
D11Wsu47e_2	D11Wsu47e	593.5	397	159	396	348
Dgke_3	Dgke	797.5	642	423	484	653
Olfr672_2	Olfr672	822.5	606	467	727	839
Gm8674_3	Gm8674	1436.5	1271	1174	1393	957
Abhd11_1	Abhd11	860	736	313	776	310
Hspb7_4	Hspb7	608	427	715	569	692
Wipf2_5	Wipf2	520	243	220	325	248
Gne_1	Gne	1330	875	2107	1048	2352
Mphosph9_3	Mphosph9	886.5	393	323	559	316
Tymp_5	Tymp	288.5	143	129	223	151
Col19a1_4	Col19a1	1626	1191	1703	1123	1693
Depdc1a_2	Depdc1a	87	130	165	127	217
Cd3e_3	Cd3e	797.5	986	689	785	787
Krt40_5	Krt40	584.5	422	253	421	446
Ppil3_5	Ppil3	922	627	798	562	983
H2-M3_1	H2-M3	1136.5	1124	613	1018	914
Pars2_3	Pars2	982	40	42	12	47
Stox2_3	Stox2	834	464	739	551	1046
Slco6d1_3	Slco6d1	752.5	647	936	658	927
Bbs2_3	Bbs2	852.5	418	317	518	338
Mospd2_3	Mospd2	1186.5	1514	1156	1590	1430
Pbld2_4	Pbld2	1306.5	1165	1026	869	915
F8a_2	F8a	547	502	372	403	385
Hdac7_1	Hdac7	888	665	432	738	502
Tekt3_4	Tekt3	140	95	39	143	52
Olfr1325_5	Olfr1325	659.5	498	398	546	540
Olfr986_3	Olfr986	735	499	495	528	564
Hist1h2bb_2	Hist1h2bb	722	460	606	496	1209
Kitl_4	Kitl	539	407	1093	335	1575
Tnni3_5	Tnni3	306.5	217	64	307	111
Hes2_5	Hes2	1071.5	726	377	716	395
Prdm6_4	Prdm6	695.5	420	350	516	490
Hapln3_4	Hapln3	2041.5	2257	2094	2711	2460
Mcm8_2	Mcm8	707.5	976	625	845	778
H2-M5_3	H2-M5	1276	1205	1013	1291	1271
Smco3_3	Smco3	497.5	301	143	342	119
Ell3_2	Ell3	667	573	363	590	363
Phgr1_3	Phgr1	380	481	128	430	151
Urad_3	Urad	1650	1758	1208	1825	977
Mapk14_1	Mapk14	742	284	550	328	522
Rab11fip2_1	Rab11fip2	1039.5	1042	939	859	839
Casp8ap2_2	Casp8ap2	544.5	379	377	377	303
Pde11a_1	Pde11a	850	629	755	463	688
Omd_3	Omd	678	499	650	616	495
Arc_4	Arc	506.5	562	260	445	303
Fbxw4_4	Fbxw4	743.5	709	760	858	612
Gtsf1_2	Gtsf1	547	384	270	348	434
Sspo_4	Sspo	806.5	651	943	576	928
Asap1_1	Asap1	159.5	137	182	237	288
Nucks1_1	Nucks1	856	739	802	879	1094
Zdhhc12_5	Zdhhc12	1099.5	685	501	469	410
l7Rn6_3	l7Rn6	369	165	152	159	115
Tex38_1	Tex38	761.5	614	308	556	292
Flt1_3	Flt1	281.5	250	316	359	487
