sgRNA	Gene	T0_rep1	T0_rep2	T12_DMSO_rep1	T12_DMSO_rep2	T12_MYCi_rep1	T12_MYCi_rep2
Dgkh_3	Dgkh	1250.8621137659454	1285.8653258157024	1349.6569259704706	1297.538200537107	1400.2098923468866	1048.764171159888
Slc25a2_3	Slc25a2	1381.9282160596922	1428.9240813398296	1566.9187725901072	2957.5172392130708	1633.0607613624443	2317.9692190603896
Polr1c_4	Polr1c	2435.3720132456815	1918.8171453148934	165.68959009881385	45.90917283092185	212.15301399195252	53.440212543179015
Slc6a1_5	Slc6a1	752.8109250497079	800.1309465942469	801.0158991532061	955.6356765594521	749.2623518545055	828.3232944192747
4930578I06Rik_2	4930578I06Rik	1547.3991702055475	1491.3043526439549	1927.9245682358674	1859.321499652335	1849.3533463591177	1455.1324540403118
Lyrm9_5	Lyrm9	1044.4330026532944	1043.8298731556963	763.7083093296321	630.6470583616107	591.9586536751065	582.275649168388
Txndc11_2	Txndc11	539.0093456830334	492.3882748272288	433.4264111856389	410.7662832240376	552.6327291302567	446.448442287808
Afm_1	Afm	897.8028007121652	1041.3346623035313	1021.5695919337464	1030.5401164414825	1141.4867045518224	1195.7247556536304
Ggn_2	Ggn	977.2616252277492	943.1897021183742	1088.5037972054527	1354.3205985121945	911.7405137898056	991.9839453327604
Tcaim_4	Tcaim	828.9930970079481	823.4195812144536	1306.862925878724	775.6233936171534	1532.6761644979592	1008.6840117525038
Elmo3_3	Elmo3	2002.0347125369815	2016.9621055000505	2213.2179021808447	1649.105813531798	1991.1336532708128	1351.5920422379024
Prorsd1_3	Prorsd1	505.4236569702609	548.9463874763024	506.9443087791524	687.4294563366982	432.58516999334705	509.9086946828331
Olfr620_4	Olfr620	1327.8634488635216	1339.928227612611	1224.5667718561342	1784.4170597703046	1166.3241305801487	1497.4392889703286
Akt2_3	Akt2	459.5505211674495	454.128375094032	387.3405649329887	495.3358121231042	250.444045785622	486.52860169519226
Scarf2_3	Scarf2	1141.9134162342684	1133.6574638336367	847.1017454058563	1238.3395303077605	1032.8229656778956	905.1435999500945
Olfr598_2	Olfr598	797.8648977131833	834.2321615738354	1011.6940534510356	614.9412887089269	718.2155693190978	608.9957554399775
Nfya_2	Nfya	479.2104365115115	411.7097906072268	550.8355909245336	720.0491317691954	472.94598728937706	765.9763797855659
Lrrc23_5	Lrrc23	461.1888474461213	410.04631670578345	385.1460008257196	283.91198987543777	473.98088004055734	467.6018597528164
Senp1_5	Senp1	761.002556443067	792.6453140377519	1084.1146689909147	733.3386291676201	1027.6485019219942	647.9625770860455
Fam198a_2	Fam198a	566.0417292811187	545.6194396734157	790.0430786168608	677.764367319662	729.5993895820806	270.54107599984377
Gm973_4	Gm973	1218.9147513318446	1285.8653258157024	1690.911644650809	1556.0793317428247	1609.2582280852982	1405.0322547810815
Clstn3_1	Clstn3	554.5734453304159	565.5811264907358	594.7268730699146	489.29513148745656	537.1093378625529	475.39522408203
Lysmd3_2	Lysmd3	660.2454903047492	578.0571807515608	762.6110272759976	523.1229430470831	638.5288274782181	416.3883227322698
Dzip1l_2	Dzip1l	814.2481604999016	837.559109376722	985.3592841638069	1157.3944097900824	813.4257024276814	829.4366321805909
Osr1_1	Osr1	783.1199612051367	736.0872013886782	783.4593862950536	1572.993237522638	1110.4399220164148	1617.6797671924814
Mgat3_4	Mgat3	154.82183333448833	230.39113534990267	108.63092330981836	318.9479375621939	223.53683425493531	262.74771167063017
Lrrc8e_2	Lrrc8e	2269.0818959604903	2250.6801886528397	2381.102056386928	2301.49932218174	2358.5205799398036	2480.516532212559
Ccdc177_2	Ccdc177	331.76107143104645	336.85346504227647	232.62379537052013	454.2591838007004	397.3988164532184	470.94187303676506
Reep4_1	Reep4	1478.5894665013304	1443.8953464528197	1312.3493361468966	1328.9497398424746	1195.3011276131958	1487.4192491184824
Ppil4_3	Ppil4	597.9890917152195	537.302070166199	107.53364125618383	12.081361271295224	121.08245188808996	5.566688806581147
Ankrd34c_1	Ankrd34c	783.9391243444727	932.3771217589924	769.1947195978048	1212.9686716380404	900.3566935268228	890.6702090529835
Pskh1_2	Pskh1	868.3129276960722	823.4195812144536	1149.9515922089863	2104.573133459628	1045.2416786920587	1413.9389568716113
Hemgn_5	Hemgn	806.0565291065425	752.7219404031116	945.8571302329639	890.3963256944579	1065.9395337156639	963.0371635385385
Snap29_5	Snap29	1352.4383430435992	1537.0498849336468	2026.6799530629748	3254.718726486933	1962.1566562377657	2884.6581395703506
Crybb2_1	Crybb2	761.8217195824029	745.2363078466166	638.6181552152958	869.8580115332561	721.3202475726386	770.4297308308307
Plcl2_2	Plcl2	598.8082548545555	593.0284458645509	678.1203091461389	712.8003150064181	784.4487053946342	914.0503020406244
Nbn_3	Nbn	521.8069197569793	503.2008551866105	260.05584671138337	171.55533005239218	254.583616790343	261.6343739093139
Calr_5	Calr	425.14566931534097	391.74810378990674	260.05584671138337	1368.8182320377489	408.7826367162012	1279.2250877523477
Sarm1_1	Sarm1	487.4020679048707	474.09006191135205	461.9557445801367	338.2781155962663	498.8183060688835	280.5611158516898
Lep_3	Lep	619.2873333379533	691.173406049708	607.894257713529	459.09172830921847	560.9118711396989	516.5887212507305
Haao_4	Haao	682.362895066819	656.2404541193979	426.84271886383175	404.72560258838996	555.7374073837975	623.4691463370884
Ppm1k_5	Ppm1k	747.0767830743564	728.6015688321831	955.7326687156747	432.512733512369	896.2171225221018	350.7013948146123
E430025E21Rik_3	E430025E21Rik	1399.1306419857465	1479.6600353338515	1092.892925419991	1411.102996487282	918.9847630480674	1170.1179871433571
Coa5_3	Coa5	1965.1723712668652	1969.5530993089153	1075.3364125618384	900.0614147114942	851.7167342213509	624.5824840984047
